1,p,0.0104648780823,0.00115640585213
2,p,0.0202444267273,0.00255334200339
3,p,0.0298870054881,0.00422579363832
4,p,0.0396215629578,0.00547398842047
5,p,0.0495915431976,0.00761074608364
6,p,0.0594413932165,0.00803488884627
7,p,0.0689859376635,0.00750477465908
8,p,0.0785116362572,0.0092827721066
9,p,0.0886651420593,0.0148429308274
10,p,0.0988160238266,0.0085903200057
1,o,0.0120000362396,0.00104867565095
2,o,0.0234427642822,0.00341619183082
3,o,0.0356192302704,0.00554612684577
4,o,0.0473299884796,0.00402809170548
5,o,0.0586648635864,0.00868241993504
6,o,0.0690243132909,0.00830225163663
7,o,0.0798420783452,0.0111405596779
8,o,0.0917157447338,0.0118726108294
9,o,0.103662949668,0.0163615104357
10,o,0.114292710304,0.0149187797279
1,m,0.0609558868408,0.000836360218282
2,m,0.118493242264,0.000680571695948
3,m,0.176405833562,0.000840738994193
4,m,0.233002743721,0.00178498837948
5,m,0.293881425858,0.00741752867413
6,m,0.351870656013,0.00627617628777
7,m,0.412649263654,0.00916151867826
8,m,0.477341575623,0.0184691519849
9,m,0.53363161193,0.0137675002637
10,m,0.593508878708,0.0150908735661
