2,1,p,0.00698599815369,0.000429623468283
3,1,p,0.0152163505554,0.00236644071143
4,1,p,0.0176465034485,0.00223275856661
5,1,p,0.0247831821442,0.00152435540645
10,1,p,0.0583724498749,0.00219388528026
15,1,p,0.110753965378,0.00223032818134
20,1,p,0.169056606293,0.00205449213996
25,1,p,0.254496192932,0.00350304303826
30,1,p,0.347732400894,0.00186350190407
40,1,p,0.61848192215,0.0208111829179
50,1,p,6.33342204094,4.21710848776
2,1,o,0.00659766197204,0.00108397771535
3,1,o,0.0157393932342,0.00228703138211
4,1,o,0.0190928459168,0.00193889290706
5,1,o,0.0274722099304,0.00199563218524
10,1,o,0.0639418125152,0.000449044430693
15,1,o,0.127335739136,0.00216779521122
20,1,o,0.195975017548,0.00143147055256
25,1,o,0.297127199173,0.00343892658424
30,1,o,0.402980661392,0.00204733422336
40,1,o,0.697596740723,0.00491540244216
