10,1,p,0.0543305873871,0.000868952600696
10,2,p,0.103680515289,0.00253488445007
10,3,p,0.152175617218,0.000731400175225
10,4,p,0.201662397385,0.00183802739615
10,5,p,0.251571655273,0.00186579942072
10,6,p,0.299576616287,0.00247614733264
10,7,p,0.349986791611,0.00230147798552
10,8,p,0.402074575424,0.00239360090918
10,9,p,0.447401189804,0.00156550375808
10,10,p,0.501283788681,0.0036124298015
10,11,p,
10,12,p,
10,1,o,0.0628034114838,0.00111429776378
10,2,o,0.119341850281,0.00132259969387
10,3,o,0.175745820999,0.000640718241491
10,4,o,0.233277988434,0.00159707885528
10,5,o,0.289813995361,0.000837231831094
10,6,o,0.349680948258,0.00558030277051
10,7,o,0.404406833649,0.00191232625062
10,8,o,0.461028814316,0.00117447278446
10,9,o,0.5224796772,0.00217707927577
10,10,o,0.574169015884,0.00291548524429
10,11,o,
10,12,o,
10,1,m,0.30606379509,0.00145798874934
10,2,m,0.592455434799,0.00301474883393
10,3,m,0.881991004944,0.00311884339013
10,4,m,1.17389039993,0.00985302975451
10,5,m,1.47199902535,0.00878162698498
10,6,m,1.771671772,0.0187373970304
10,7,m,2.05731282234,0.00748069978729
10,8,m,2.3807516098,0.00785009500695
10,9,m,2.67858543396,0.0180868293431
10,10,m,2.97777481079,0.0315973915403
10,11,m,
10,12,m,
