20,1,p,0.17133102417,0.00934537513384
20,2,p,0.321758556366,0.00147648966305
20,3,p,0.480509757996,0.00406710448209
20,4,p,0.633660173416,0.00167981739988
20,5,p,0.809976434708,0.0424053901272
20,6,p,0.956412601471,0.00714591621166
20,7,p,1.10521697998,0.012231057891
20,8,p,1.27283573151,0.0134860222185
20,9,p,1.42234330177,0.00715071395831
20,10,p,1.5821557045,0.00506198745818
20,11,p,1.75126662254,0.00955768726309
20,12,p,1.90091462135,0.0133030770167
20,13,p,
20,14,p,
20,15,p,
20,16,p,
20,17,p,
20,18,p,
20,19,p,
20,20,p,
20,1,o,
20,2,o,
20,3,o,
20,4,o,
20,5,o,
20,6,o,
20,7,o,
20,8,o,
20,9,o,
20,10,o,
20,11,o,
20,12,o,
20,13,o,
20,14,o,
20,15,o,
20,16,o,
20,17,o,
20,18,o,
20,19,o,
20,20,o,
20,1,m,
20,2,m,
20,3,m,
20,4,m,
20,5,m,
20,6,m,
20,7,m,
20,8,m,
20,9,m,
20,10,m,
20,11,m,
20,12,m,
20,13,m,
20,14,m,
20,15,m,
20,16,m,
20,17,m,
20,18,m,
20,19,m,
20,20,m,
