lat,20,10,6,0,1365122447.756362,1365122447.939797
lat,20,10,6,1,1365122447.756362,1365122447.939922
lat,20,10,6,2,1365122447.756362,1365122447.940041
lat,20,10,6,3,1365122447.756362,1365122447.940159
lat,20,10,6,4,1365122447.756362,1365122447.940281
lat,20,10,6,5,1365122447.756362,1365122447.9404
lat,20,10,6,6,1365122447.756362,1365122447.940518
lat,20,10,6,7,1365122447.756362,1365122447.940636
lat,20,10,6,8,1365122447.756362,1365122447.940754
lat,20,10,6,9,1365122447.756362,1365122447.940872
