lat,3,10,1,0,1365118485.579183,1365118485.597205
lat,3,10,1,1,1365118485.579183,1365118485.597405
lat,3,10,1,2,1365118485.579183,1365118485.597534
lat,3,10,1,3,1365118485.579183,1365118485.597654
lat,3,10,1,4,1365118485.579183,1365118485.597779
lat,3,10,1,5,1365118485.579183,1365118485.597901
lat,3,10,1,6,1365118485.579183,1365118485.598019
lat,3,10,1,7,1365118485.579183,1365118485.598143
lat,3,10,1,8,1365118485.579183,1365118485.598262
lat,3,10,1,9,1365118485.579183,1365118485.598381
