lat,20,10,4,0,1365122431.705707,1365122431.887426
lat,20,10,4,1,1365122431.705707,1365122431.88755
lat,20,10,4,2,1365122431.705707,1365122431.887673
lat,20,10,4,3,1365122431.705707,1365122431.887791
lat,20,10,4,4,1365122431.705707,1365122431.887908
lat,20,10,4,5,1365122431.705707,1365122431.888025
lat,20,10,4,6,1365122431.705707,1365122431.888144
lat,20,10,4,7,1365122431.705707,1365122431.888261
lat,20,10,4,8,1365122431.705707,1365122431.888377
lat,20,10,4,9,1365122431.705707,1365122431.8885
