lat,20,10,10,0,1365122479.905586,1365122480.086467
lat,20,10,10,1,1365122479.905586,1365122480.08659
lat,20,10,10,2,1365122479.905586,1365122480.086709
lat,20,10,10,3,1365122479.905586,1365122480.086826
lat,20,10,10,4,1365122479.905586,1365122480.086949
lat,20,10,10,5,1365122479.905586,1365122480.087066
lat,20,10,10,6,1365122479.905586,1365122480.087184
lat,20,10,10,7,1365122479.905586,1365122480.087303
lat,20,10,10,8,1365122479.905586,1365122480.08742
lat,20,10,10,9,1365122479.905586,1365122480.087539
