lat,5,10,10,0,1365120121.478585,1365120121.514366
lat,5,10,10,1,1365120121.478585,1365120121.51449
lat,5,10,10,2,1365120121.478585,1365120121.514609
lat,5,10,10,3,1365120121.478585,1365120121.514728
lat,5,10,10,4,1365120121.478585,1365120121.514852
lat,5,10,10,5,1365120121.478585,1365120121.514972
lat,5,10,10,6,1365120121.478585,1365120121.515089
lat,5,10,10,7,1365120121.478585,1365120121.515208
lat,5,10,10,8,1365120121.478585,1365120121.515326
lat,5,10,10,9,1365120121.478585,1365120121.515445
